pid,uptake_year,mc,uptake_group
51233,36,3,2
51246,39,3,2
51311,36,3,2
51345,44,3,2
51463,36,3,2
51474,34,3,2
51651,44,3,2
51653,39,3,2
51654,33,3,2
51657,36,3,2
51660,31,3,2
51720,28,3,2
51757,31,3,2
51912,37,3,2
51921,40,3,2
51937,33,3,2
51946,43,3,2
51950,35,3,2
51970,27,3,2
52065,33,3,2
52098,29,3,2
52100,40,3,2
52135,33,3,2
52195,31,3,2
52393,42,3,2
52405,44,3,2
52486,37,3,2
52698,44,3,2
52761,43,3,2
52870,39,3,2
53008,41,3,2
53060,39,3,2
53189,29,3,2
53197,39,3,2
53224,32,3,2
53265,40,3,2
53287,32,3,2
53291,31,3,2
53327,33,3,2
53347,27,3,2
53351,35,3,2
53355,40,3,2
53396,38,3,2
53508,33,3,2
53509,43,3,2
53515,44,3,2
53537,28,3,2
53654,35,3,2
53673,44,3,2
53828,44,3,2
53924,36,3,2
53934,44,3,2
53964,39,3,2
53993,26,3,2
54049,30,3,2
54084,39,3,2
54133,44,3,2
54146,33,3,2
54168,38,3,2
54195,43,3,2
54310,39,3,2
54314,39,3,2
54354,41,3,2
54372,32,3,2
54378,36,3,2
54413,44,3,2
54437,39,3,2
54448,31,3,2
54466,33,3,2
54467,30,3,2
54529,40,3,2
54530,42,3,2
54543,44,3,2
54561,33,3,2
54577,33,3,2
54768,44,3,2
54807,41,3,2
54818,25,3,2
54886,30,3,2
55010,33,3,2
55048,27,3,2
55082,33,3,2
55121,36,3,2
55138,33,3,2
55146,43,3,2
55185,30,3,2
55289,43,3,2
55290,40,3,2
55329,35,3,2
55413,40,3,2
55462,31,3,2
55504,43,3,2
55531,43,3,2
55632,40,3,2
55639,43,3,2
55653,35,3,2
55686,39,3,2
55745,27,3,2
55746,26,3,2
55796,35,3,2
55809,38,3,2
55848,31,3,2
56001,44,3,2
56102,30,3,2
56114,34,3,2
56168,30,3,2
56225,34,3,2
56229,43,3,2
56302,34,3,2
56389,34,3,2
56461,37,3,2
56486,32,3,2
56516,40,3,2
56518,38,3,2
56556,41,3,2
56707,35,3,2
56718,43,3,2
56721,30,3,2
56777,39,3,2
56789,38,3,2
56840,34,3,2
57091,33,3,2
57101,35,3,2
57111,41,3,2
57129,39,3,2
57144,44,3,2
57163,42,3,2
57164,31,3,2
57191,41,3,2
57253,33,3,2
57284,32,3,2
57317,34,3,2
57367,30,3,2
57402,28,3,2
57409,44,3,2
57426,26,3,2
57447,32,3,2
57450,37,3,2
57505,27,3,2
57508,32,3,2
57544,30,3,2
57714,28,3,2
57743,36,3,2
57808,38,3,2
57811,31,3,2
57813,35,3,2
57876,25,3,2
57962,33,3,2
57967,27,3,2
58011,40,3,2
58039,26,3,2
58114,32,3,2
58123,32,3,2
58163,42,3,2
58173,28,3,2
58177,25,3,2
58280,30,3,2
58441,30,3,2
58454,25,3,2
58478,33,3,2
58503,44,3,2
58640,34,3,2
58687,43,3,2
58693,26,3,2
58707,31,3,2
58714,34,3,2
58715,30,3,2
58728,25,3,2
58744,34,3,2
58751,33,3,2
58829,26,3,2
58840,35,3,2
58857,30,3,2
58861,25,3,2
58908,25,3,2
59026,35,3,2
59033,27,3,2
59041,41,3,2
59055,25,3,2
59102,26,3,2
59143,26,3,2
59182,25,3,2
59242,28,3,2
59262,32,3,2
59302,27,3,2
59309,27,3,2
59320,25,3,2
59322,34,3,2
59352,40,3,2
59427,30,3,2
59442,42,3,2
59481,28,3,2
59510,27,3,2
59526,33,3,2
59527,31,3,2
59582,27,3,2
59666,28,3,2
59722,41,3,2
59752,40,3,2
59797,33,3,2
59887,25,3,2
59895,29,3,2
59898,35,3,2
59916,32,3,2
59934,32,3,2
59943,42,3,2
59977,39,3,2
59985,29,3,2
60040,26,3,2
60052,34,3,2
60072,32,3,2
60197,31,3,2
60201,32,3,2
60207,33,3,2
60215,38,3,2
60228,25,3,2
60241,32,3,2
60293,27,3,2
60311,34,3,2
60336,29,3,2
60357,41,3,2
60367,31,3,2
60372,31,3,2
60392,26,3,2
60458,30,3,2
60504,28,3,2
60564,25,3,2
60572,36,3,2
60579,31,3,2
60621,33,3,2
60627,26,3,2
60664,26,3,2
60667,32,3,2
60789,26,3,2
60793,35,3,2
60797,41,3,2
60861,28,3,2
60875,26,3,2
60900,43,3,2
61016,36,3,2
61045,26,3,2
61059,36,3,2
61064,34,3,2
61098,29,3,2
61151,31,3,2
61169,35,3,2
61188,27,3,2
61255,33,3,2
61366,38,3,2
61396,27,3,2
61403,30,3,2
61480,35,3,2
61527,25,3,2
61624,37,3,2
61635,34,3,2
61644,29,3,2
61678,26,3,2
61680,43,3,2
61686,36,3,2
61753,39,3,2
61765,31,3,2
61769,42,3,2
61867,40,3,2
61917,42,3,2
61962,33,3,2
61973,25,3,2
