pid,uptake_year,uptake_group
100002563,38,3
100002900,39,3
100003044,34,3
100003124,40,3
100003258,41,3
100003268,29,3
100003278,37,3
100003344,36,3
100003490,44,3
100003533,32,3
100003569,39,3
100003603,43,3
100003721,36,3
100004137,34,3
100004166,25,3
100004289,29,3
100004322,28,3
100004370,38,3
100004548,32,3
100004552,30,3
100004689,41,3
100004905,42,3
100005061,43,3
100005449,33,3
100005652,39,3
100005765,41,3
100005829,27,3
100005867,38,3
100005893,35,3
100006018,35,3
100006147,39,3
100006184,40,3
100006862,42,3
100007075,29,3
100007586,30,3
100007758,38,3
100007920,36,3
100008176,39,3
100008400,33,3
100008522,25,3
100008938,38,3
100009234,42,3
100009257,39,3
100009417,36,3
100009429,42,3
100009462,44,3
100009745,41,3
100010250,41,3
100010275,25,3
100010401,26,3
100010469,33,3
100010604,40,3
100010630,42,3
100011368,37,3
100011809,37,3
100011910,43,3
100012001,30,3
100012344,37,3
100012456,37,3
100012591,35,3
100012901,30,3
100012964,37,3
100013104,37,3
100013357,35,3
100013453,31,3
100013609,42,3
100013858,42,3
100014209,35,3
100014217,36,3
100014469,41,3
100014531,29,3
100014817,44,3
100014821,41,3
100015078,27,3
100015115,44,3
100015237,44,3
100015274,35,3
100015585,35,3
100015629,31,3
100015655,40,3
100015778,44,3
100015946,42,3
100016048,38,3
100016100,43,3
100016120,40,3
100016555,36,3
100016600,44,3
100016711,42,3
100016771,38,3
100016773,32,3
100016974,36,3
100017090,42,3
100017178,42,3
100017287,35,3
100017441,36,3
100017761,37,3
100017766,29,3
100017930,36,3
100018056,44,3
100018828,39,3
100018830,40,3
100018890,25,3
100018948,35,3
100018985,43,3
100019028,39,3
100019138,32,3
100019236,42,3
100019481,40,3
100019811,41,3
100019844,40,3
100019975,41,3
100020261,42,3
100020585,43,3
100020870,44,3
100020996,38,3
100021096,38,3
100021283,41,3
100021351,38,3
100021360,41,3
100021474,40,3
100021610,25,3
100021834,44,3
100021980,42,3
100022024,29,3
100022054,44,3
100022057,33,3
100022320,42,3
100022350,31,3
100022817,44,3
100022827,27,3
100022887,37,3
100023010,40,3
100023047,42,3
100023048,32,3
100023184,38,3
100023225,42,3
100023310,29,3
100023332,26,3
100023375,40,3
100023458,37,3
100023683,28,3
100023684,43,3
100023691,31,3
100023785,42,3
100023820,27,3
100023969,28,3
100024202,36,3
100024262,25,3
100024587,39,3
100025261,27,3
100025414,36,3
100025487,35,3
100025645,38,3
100025987,31,3
100026660,26,3
100026953,38,3
100027236,44,3
100027279,40,3
100027633,35,3
100027728,44,3
100027822,35,3
100027857,43,3
100028008,40,3
100028135,34,3
100028194,32,3
100028245,41,3
100028463,39,3
100028614,33,3
100028641,44,3
100028929,36,3
100029193,32,3
100029285,41,3
100029445,34,3
100029542,43,3
100029589,35,3
100029710,32,3
100029715,43,3
100029862,25,3
100029921,38,3
100029954,33,3
100030050,41,3
100030160,38,3
100030263,42,3
100030337,43,3
100031091,34,3
100031350,38,3
100031532,39,3
100031723,26,3
100031819,33,3
100031959,41,3
100032042,26,3
100032068,26,3
100032263,38,3
100032405,41,3
100032848,30,3
100032906,36,3
100033321,37,3
100033379,28,3
100033589,38,3
100033643,43,3
100033718,41,3
100033895,29,3
100033993,40,3
100034122,33,3
100034241,31,3
100034382,40,3
100034438,37,3
100034474,26,3
100034522,39,3
100034638,41,3
100034672,36,3
100035026,36,3
100035174,37,3
100035175,31,3
100035203,44,3
100035286,42,3
100035457,39,3
100035461,31,3
100035493,37,3
100035627,40,3
100036042,41,3
100036068,29,3
100036149,42,3
100036261,33,3
100036496,35,3
100036771,29,3
100036779,27,3
100036822,42,3
100037025,34,3
100037153,40,3
100037172,39,3
100037313,30,3
100037354,37,3
100037415,44,3
100037443,42,3
100037541,42,3
100037676,33,3
100038147,28,3
100038278,32,3
100038317,40,3
100038477,38,3
100038753,35,3
100038890,31,3
100039114,44,3
100039567,44,3
100039627,44,3
100039641,42,3
100039946,33,3
100040165,29,3
100040236,37,3
100040324,42,3
100040325,44,3
100040429,35,3
100040555,44,3
100040628,34,3
100040655,36,3
100040715,44,3
100040739,39,3
100040779,29,3
100040805,35,3
100040967,39,3
100041095,41,3
100041122,34,3
100041378,41,3
100041393,37,3
100041441,32,3
100041453,44,3
100041543,38,3
100041585,38,3
100041655,44,3
100041803,30,3
100041889,37,3
100041893,30,3
100042163,36,3
100042513,42,3
100042566,37,3
100042926,34,3
100043074,27,3
100043301,41,3
100043405,43,3
100043581,43,3
100043662,43,3
100043738,40,3
100044079,33,3
100044097,32,3
100044356,34,3
100044385,35,3
100044590,43,3
100044930,36,3
100044933,37,3
100045031,44,3
100045382,41,3
100045538,42,3
