pid,uptake_year,mc,uptake_group
100116977,25,2,1
100117126,25,2,1
100117290,25,2,1
100117498,25,2,1
100117617,25,2,1
100117737,25,2,1
100117768,25,2,1
100117832,25,2,1
100117867,25,2,1
100117936,25,2,1
100117937,25,2,1
100117972,25,2,1
100117998,25,2,1
100118077,25,2,1
100118144,25,2,1
100118177,25,2,1
100118186,25,2,1
100118217,25,2,1
100118268,25,2,1
100118331,25,2,1
100118397,25,2,1
100118446,25,2,1
100118464,25,2,1
100118511,25,2,1
100118559,25,2,1
100118725,25,2,1
100118790,25,2,1
100118917,25,2,1
100118980,25,2,1
100119035,25,2,1
100119226,25,2,1
100119371,25,2,1
100119491,25,2,1
100119521,25,2,1
100119570,25,2,1
100119724,25,2,1
100119727,25,2,1
100119793,25,2,1
100120011,25,2,1
100120111,25,2,1
100120129,25,2,1
100120165,25,2,1
100120214,25,2,1
100120252,25,2,1
100120357,25,2,1
100120446,25,2,1
100120702,25,2,1
100120718,25,2,1
100120808,25,2,1
100120957,25,2,1
100120963,25,2,1
100121009,25,2,1
100121075,25,2,1
100121091,25,2,1
100121207,25,2,1
100121288,25,2,1
100121305,25,2,1
100121409,25,2,1
100121509,25,2,1
100121517,25,2,1
100121649,25,2,1
100121731,25,2,1
100121750,25,2,1
100121850,25,2,1
100121870,25,2,1
100121959,25,2,1
100122011,25,2,1
100122074,25,2,1
100122138,25,2,1
100122156,25,2,1
100122246,25,2,1
100122300,25,2,1
100122324,25,2,1
100122641,25,2,1
100122781,25,2,1
100122853,25,2,1
100122868,25,2,1
100122883,25,2,1
100122915,25,2,1
100123055,25,2,1
100123101,25,2,1
100123146,25,2,1
100123400,25,2,1
100123474,25,2,1
100123570,25,2,1
100123573,25,2,1
100123871,25,2,1
100123961,25,2,1
100123970,25,2,1
100123983,25,2,1
100124189,25,2,1
100124221,25,2,1
100124442,25,2,1
100124473,25,2,1
100124489,25,2,1
100124513,25,2,1
100124531,25,2,1
100124555,25,2,1
100124572,25,2,1
100124598,25,2,1
100124636,25,2,1
100124663,25,2,1
100124694,25,2,1
100124766,25,2,1
100124773,25,2,1
100124795,25,2,1
100124816,25,2,1
100124866,25,2,1
100124899,25,2,1
100124948,25,2,1
100124954,25,2,1
100125135,25,2,1
100125269,25,2,1
100125311,25,2,1
100125331,25,2,1
100125367,25,2,1
100125385,25,2,1
100125399,25,2,1
100125402,25,2,1
100125507,25,2,1
100125513,25,2,1
