pid,uptake_year,mc
100107992,25,5
100108135,25,5
100108156,25,5
100108252,25,5
100108277,25,5
100108375,25,5
100108384,25,5
100108445,25,5
100108464,25,5
100108559,25,5
100108848,25,5
100108960,25,5
100109014,25,5
100109042,25,5
100109048,25,5
100109053,25,5
100109072,25,5
100109092,25,5
100109274,25,5
100109291,25,5
100109315,25,5
100109379,25,5
100109396,25,5
100109567,25,5
100109632,25,5
100109714,25,5
100109735,25,5
100109784,25,5
100109826,25,5
100109860,25,5
100109888,25,5
100109903,25,5
100109917,25,5
100109943,25,5
100110085,25,5
100110140,25,5
100110297,25,5
100110345,25,5
100110380,25,5
100110394,25,5
100110450,25,5
100110460,25,5
100110583,25,5
100110733,25,5
100110797,25,5
100110862,25,5
100111067,25,5
100111189,25,5
100111265,25,5
100111382,25,5
100111416,25,5
100111438,25,5
100111455,25,5
100111586,25,5
100111725,25,5
100111788,25,5
100111789,25,5
100111794,25,5
100111801,25,5
100111839,25,5
100111871,25,5
100111903,25,5
100111924,25,5
100111933,25,5
100112030,25,5
100112113,25,5
100112139,25,5
100112146,25,5
100112149,25,5
100112170,25,5
100112190,25,5
100112232,25,5
100112243,25,5
100112244,25,5
100112384,25,5
100112392,25,5
100112538,25,5
100112541,25,5
100112549,25,5
100112679,25,5
100112771,25,5
100112926,25,5
100113031,25,5
100113224,25,5
100113310,25,5
100113355,25,5
100113412,25,5
100113804,25,5
100113906,25,5
100113945,25,5
100113947,25,5
100114019,25,5
100114020,25,5
100114264,25,5
100114280,25,5
100114296,25,5
100114357,25,5
100114433,25,5
100114442,25,5
100114510,25,5
100114511,25,5
100114750,25,5
100114806,25,5
100114821,25,5
100114853,25,5
100114882,25,5
100115105,25,5
100115172,25,5
100115406,25,5
100115490,25,5
100115561,25,5
100115663,25,5
100115706,25,5
100115980,25,5
100116004,25,5
100116244,25,5
100116329,25,5
100116573,25,5
100116602,25,5
100116866,25,5
100116876,25,5
100116920,25,5
100116940,25,5
100117059,25,5
100117087,25,5
100117099,25,5
100117105,25,5
100117132,25,5
100117154,25,5
100117168,25,5
100117215,25,5
100117252,25,5
100117315,25,5
100117454,25,5
100117548,25,5
100117550,25,5
100117579,25,5
100117637,25,5
100117682,25,5
100117858,25,5
100117906,25,5
100118172,25,5
100118193,25,5
100118325,25,5
100118521,25,5
100118562,25,5
100118684,25,5
100118833,25,5
100118856,25,5
100118911,25,5
100118918,25,5
100118976,25,5
100119074,25,5
100119221,25,5
100119287,25,5
100119444,25,5
100119483,25,5
100119578,25,5
100119656,25,5
100119693,25,5
100119771,25,5
100119778,25,5
100119792,25,5
100119826,25,5
100119870,25,5
100119976,25,5
100119994,25,5
100120055,25,5
100120132,25,5
100120154,25,5
100120205,25,5
100120207,25,5
100120216,25,5
100120265,25,5
100120319,25,5
100120621,25,5
100120654,25,5
100120666,25,5
100120691,25,5
100120737,25,5
100120738,25,5
100120763,25,5
100120804,25,5
100120869,25,5
100120891,25,5
100120911,25,5
100121026,25,5
100121171,25,5
100121220,25,5
100121294,25,5
100121392,25,5
100121403,25,5
100121560,25,5
100121600,25,5
100121671,25,5
100121837,25,5
100121861,25,5
100121915,25,5
100122186,25,5
100122216,25,5
100122257,25,5
100122403,25,5
100122477,25,5
100122498,25,5
100122533,25,5
100122547,25,5
100122550,25,5
100122607,25,5
100122680,25,5
100122703,25,5
100122844,25,5
100122906,25,5
100122931,25,5
100122989,25,5
100123034,25,5
100123039,25,5
100123063,25,5
100123077,25,5
100123099,25,5
100123126,25,5
100123284,25,5
100123359,25,5
100123396,25,5
100123564,25,5
100123694,25,5
100123769,25,5
100123833,25,5
100123847,25,5
100123907,25,5
100123993,25,5
100124086,25,5
100124125,25,5
100124151,25,5
100124194,25,5
100124363,25,5
100124372,25,5
100124494,25,5
100124509,25,5
100124596,25,5
100124958,25,5
100125044,25,5
100125055,25,5
100125058,25,5
100125071,25,5
100125109,25,5
100125134,25,5
100125222,25,5
100125231,25,5
100125419,25,5
100125511,25,5
100125598,25,5
100125739,25,5
100125832,25,5
100125977,25,5
100125988,25,5
100126053,25,5
100126143,25,5
100126164,25,5
100126195,25,5
100126224,25,5
100126228,25,5
100126411,25,5
100126457,25,5
100126480,25,5
100126495,25,5
100126512,25,5
100126553,25,5
100126573,25,5
100126634,25,5
100126648,25,5
100126649,25,5
100126672,25,5
100126728,25,5
100126782,25,5
100126810,25,5
100126963,25,5
100126965,25,5
100127114,25,5
100127179,25,5
100127196,25,5
100127241,25,5
100127313,25,5
100127429,25,5
100127470,25,5
100127583,25,5
100127584,25,5
100127603,25,5
100127639,25,5
100127655,25,5
100127679,25,5
100127707,25,5
100127720,25,5
100128067,25,5
100128074,25,5
100128091,25,5
100128302,25,5
100128312,25,5
100128376,25,5
100128401,25,5
100128481,25,5
100128612,25,5
100128623,25,5
100128752,25,5
100128806,25,5
100129033,25,5
100129100,25,5
100129121,25,5
100129164,25,5
100129229,25,5
100129245,25,5
100129286,25,5
100129321,25,5
100129336,25,5
100129459,25,5
100129670,25,5
100129738,25,5
100129875,25,5
100129947,25,5
100130044,25,5
100130107,25,5
100130149,25,5
100130153,25,5
100130196,25,5
100130249,25,5
100130257,25,5
100130279,25,5
100130806,25,5
100130945,25,5
100130952,25,5
100130954,25,5
100131087,25,5
100131246,25,5
100131435,25,5
100131518,25,5
100131685,25,5
100131812,25,5
100131827,25,5
100131838,25,5
100132128,25,5
100132172,25,5
100132231,25,5
100132258,25,5
100132429,25,5
100132696,25,5
100132701,25,5
100132892,25,5
100132933,25,5
100133003,25,5
100133054,25,5
100133073,25,5
100133362,25,5
100133366,25,5
100133409,25,5
100133486,25,5
100133517,25,5
100133543,25,5
100133684,25,5
100133713,25,5
100133749,25,5
100133882,25,5
100133926,25,5
100134040,25,5
100134052,25,5
100134126,25,5
100134166,25,5
100134258,25,5
100134293,25,5
100134308,25,5
100134352,25,5
100134383,25,5
100134422,25,5
100134480,25,5
100134484,25,5
100134519,25,5
100134559,25,5
100134591,25,5
100134649,25,5
100134666,25,5
100134706,25,5
100134714,25,5
100134793,25,5
100134874,25,5
100134881,25,5
100135227,25,5
100135279,25,5
100135362,25,5
100135425,25,5
100135523,25,5
100135535,25,5
100135540,25,5
100135576,25,5
100135660,25,5
100135714,25,5
100135753,25,5
100135846,25,5
100135897,25,5
100135941,25,5
100135949,25,5
100136012,25,5
100136120,25,5
100136129,25,5
100136173,25,5
100136779,25,5
100136795,25,5
100136990,25,5
100137095,25,5
100137121,25,5
100137153,25,5
100137222,25,5
100137399,25,5
100137401,25,5
100137448,25,5
100137486,25,5
100137661,25,5
100137663,25,5
100137743,25,5
100137764,25,5
100137816,25,5
100137858,25,5
100137883,25,5
100137890,25,5
100138008,25,5
100138045,25,5
100138067,25,5
100138231,25,5
100138351,25,5
100138630,25,5
100138696,25,5
100138940,25,5
100138962,25,5
100139233,25,5
100139346,25,5
100139559,25,5
100139562,25,5
100139579,25,5
100139868,25,5
100139943,25,5
100139954,25,5
100140005,25,5
100140186,25,5
100140263,25,5
100140303,25,5
100140493,25,5
100140506,25,5
100140576,25,5
